"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
news_2_ox_adm,clinical_features,,text,"Oxygen supplementation",,,,,,,,,,,,," @HIDDEN-FORM"
news_spo2_1,clinical_features,,text,"<div class=""rich-text-field-label""><p>SpO<sub>2</sub> Scale 1(%)<br /><span style=""font-weight: normal;"">Oxygen Sats if patient has no chronic resp disease</span></p></div>",,,,,,,,,,,,," @HIDDEN-FORM"
news_spo2_2,clinical_features,,text,"<div class=""rich-text-field-label""><p>SpO<sub>2</sub> Scale 2(%)<br /><span style=""font-weight: normal;"">Oxygen Sats if patient has chronic resp disease</span></p></div>",,,,,,,,,,,,," @HIDDEN-FORM"
news_2_sbp,clinical_features,,text,"Systolic Blood Pressure (mmHg)",,,,,,,,,,,,," @HIDDEN-FORM"
news_2_ppm,clinical_features,,text,"Pulse (per minute)",,,,,,,,,,,,," @HIDDEN-FORM"
news_2_tmp,clinical_features,,text,Temperature,,,,,,,,,,,,," @HIDDEN-FORM"
news_2_consc,clinical_features,,text,Consciousness,,,,,,,,,,,,," @HIDDEN-FORM"
warning_declined2,consent_form,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has declined consent to the study. Do not collect any further data.</span></div>",,,,,,,"[ppc]= '2'",,,,,,
consented,consent_form,,radio,"Did this patient provide consent for the study? ","0, No (ie not approached) | 1, Yes | 2, Declined consent",,,,,,,y,,,,,
ppc,consent_form,,radio,"Does this patient need to be enrolled by PPC? ","0, No (ie not approached) | 1, Yes | 2, Declined consent",,,,,,,y,,,,,
include_patient,consent_form,,yesno,"Should this participant be included in the Avon CAP consented arm?",,,,,,,,y,,,,,
consent_date2,consent_form,,text,"Date of consent obtained/refused",,,date_dmy,,,,"[consented]=""1"" OR [ppc]=""1"" or [consented]=""2"" or [ppc]=""2""",y,,,,,
ac_study_number,consent_form,,text,"Avon CAP consented study number",,,,,,,"[include_patient] = '1'",y,,,,,
consent_nurse,consent_form,,dropdown,"Research staff obtaining consent or making decision on participant inclusion","1, Catherine Hyams | 2, Robyn Heath | 3, Kelly Turner | 4, Jade King | 5, Kazminder Fox | 6, Anabella Turner | 7, Oliver Griffiths | 8, Julie Cloake | 9, DMA | 10, Tawassal Riaz | 11, Beth Osborne | 12, Grace Tilzey | 13, Johanna Kellett-Wright | 14, Louise Wright | 15, Emma Scott | 16, Nicola Manning | 17, Rajeka Lazarus | 18, Rhian Walters | 19, Sandi Nammuni | 20, Katarina Milutinovic | 101, Catherine Hyams | 102, Zandile Maseko | 103, Lana Ward | 104, Zsolt Friedrich | 105, Elena Bellavia | 106, Kate Helliker | 107, Marianne Vasquez | 109, Leigh Morrison | 110, Anna Morley | 111, Gabriella Ruffino | 112, Johanna Kellett Wright",,,,,,,y,LH,,,,
pis_version,consent_form,,radio,"Which version of PIS has been given? ","1, v1.1 date 05/06/2020 | 2, v1.2 date 10/02/2021",,,,,,"[consented]=""1"" OR [ppc]=""1""",y,,,,,
decline_consent,consent_form,,radio,"If patient wasn't enrolled, select why","1, 1. Failed entrance criteria | 2, 2. Patient discharged before approach | 3, 3. Doesn't want to participate in research | 4, 4. Doesn't want samples taken | 5, 5. Felt too unwell | 6, 6. Wanted to discuss with family/friends | 7, 7. Follow up too arduous | 8, 8. Study too arduous | 9, 9. Patient imminently dying | 10, 10.  Unable to contact after discharge after 3+ attempts | 11, 11. Patient decline consent | 12, 12. Lacks capacity, PPC not available (despite 3+ attempts) | 13, 13. Non-english speaker and no translator available",,,,,,"[consented]<>""1"" and [ppc]<>""1""",y,,,,,
consent,consent_form,,radio,"Which method are you using to take consent?","1, Paper | 3, Telephone",,,,,,"[consented]=1 or [ppc]=1",y,,,,,
consent_resp_samples1,consent_form,,yesno,"<div class=""rich-text-field-label""><p>Does the participant need respiratory samples to be taken?</p></div>",,,,,,,"[consented]=1 or [ppc]=1",y,,,,,
consent_urine,consent_form,,yesno,"Does the participant need urine samples to be taken?",,,,,,,"[consented]=1 or [ppc]=1",,,,,,
consent_blood,consent_form,,yesno,"<div class=""rich-text-field-label""><p>Does the participant need blood samples to be taken?</p></div>",,,,,,,"[consented]=1 or [ppc]=1",y,,,,,
consent_extra_gp,consent_form,,yesno,"<div class=""rich-text-field-label""><p>Can we know the patient's GP practice?</p></div>",,,,,,,"[consented]=1 or [ppc]=1",y,,,,,
gp_practice,consent_form,,text,"Registered GP practice",,,,,,,"[consent_extra_gp] = '1'",y,,,,,
consent_extra_samples,consent_form,,yesno,"<div class=""rich-text-field-label""><p>Did the participant agree to Biobank deposit?</p></div>",,,,,,,"[consented]=1 or [ppc]=1",y,,,,,
consent_genetic,consent_form,,yesno,"<div class=""rich-text-field-label""><p style=""margin-right: -.1pt; tab-stops: 439.45pt right 496.15pt;"">Did the participant agree to DNA/genetic research?</p></div>",,,,,,,"[consented]=1 or [ppc]=1",y,,,,,
consent_futureres,consent_form,,yesno,"<div class=""rich-text-field-label""><p>Is the patient happy to be contacted in the future?</p></div>",,,,,,,"[consented]=1 or [ppc]=1",y,,,,,
warning_declined6,d1_samples,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has declined consent to the study. Do not collect any further data.</span></div>",,,,,,,"[consented]= '2' OR [ppc]= '2'",,,,,,
warning_withdrawal2,d1_samples,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has withdrawn from the study. Do not collect any further data.</span></div>",,,,,,,"[withdrawal_aspect] = '1' OR [withdrawal_aspect] = '2'",,,,,,
warning_samples,d1_samples,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant does not want samples to be taken </span></div>",,,,,,,"[withdrawal_aspect] ='1' OR [withdrawal_aspect] ='4' OR [consent]='2' OR [ppc]='2'",,,,,,
resp_needed,d1_samples,"Nose/Throat Swabs",descriptive,"<div class=""red"";><span style=""font-weight:normal;font-color:red;font-size:140%"">This participant needs a respiratory sample to be taken - pleast collect a research sample</span></div>",,,,,,,"[consent_resp_samples1] = '1'",,,,,,
resp_not_needed,d1_samples,,descriptive,"<div class=""blue"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">This participant does not need a respiratory sample </span></div>",,,,,,,"[consent_resp_samples1]<> '1'",,,,,,
pt_ad_np,d1_samples,,yesno,"Should this patient have an admission nose/throat swab?",,,,,,,,y,,,,,
np_swab,d1_samples,,radio,"Nose/Throat swab taken","1, Yes - sample collected | 2, No - return later to collect sample (ie pending) | 3, No - unable to collect sample (ie permanently lost)",,,,,,"[pt_ad_np] = '1'",y,,,,,
